2022-11-07 12:14:00 startup archives unpack
2022-11-07 12:14:07 status unpacked avahi-daemon:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:07 status unpacked avahi-daemon:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:07 startup packages configure
2022-11-07 12:14:07 configure avahi-daemon:amd64 0.7-3.1ubuntu1.3 <none>
2022-11-07 12:14:07 status unpacked avahi-daemon:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:07 status unpacked avahi-daemon:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:07 status unpacked avahi-daemon:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:07 status unpacked avahi-daemon:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:07 status unpacked avahi-daemon:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:07 status unpacked avahi-daemon:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:07 status unpacked avahi-daemon:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:07 status unpacked avahi-daemon:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:07 status half-configured avahi-daemon:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:08 status installed avahi-daemon:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:08 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2022-11-07 12:14:08 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:14:09 status installed man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:14:09 trigproc dbus:amd64 1.12.2-1ubuntu1.2 <none>
2022-11-07 12:14:09 status half-configured dbus:amd64 1.12.2-1ubuntu1.2
2022-11-07 12:14:09 status installed dbus:amd64 1.12.2-1ubuntu1.2
2022-11-07 12:14:09 trigproc ureadahead:amd64 0.100.0-21 <none>
2022-11-07 12:14:09 status half-configured ureadahead:amd64 0.100.0-21
2022-11-07 12:14:09 status installed ureadahead:amd64 0.100.0-21
2022-11-07 12:14:09 trigproc systemd:amd64 237-3ubuntu10.45 <none>
2022-11-07 12:14:09 status half-configured systemd:amd64 237-3ubuntu10.45
2022-11-07 12:14:09 status installed systemd:amd64 237-3ubuntu10.45
2022-11-07 12:14:13 startup archives unpack
2022-11-07 12:14:13 upgrade avahi-utils:amd64 0.7-3.1ubuntu1.2 0.7-3.1ubuntu1.3
2022-11-07 12:14:13 status half-configured avahi-utils:amd64 0.7-3.1ubuntu1.2
2022-11-07 12:14:13 status unpacked avahi-utils:amd64 0.7-3.1ubuntu1.2
2022-11-07 12:14:13 status half-installed avahi-utils:amd64 0.7-3.1ubuntu1.2
2022-11-07 12:14:13 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:14:13 status half-installed avahi-utils:amd64 0.7-3.1ubuntu1.2
2022-11-07 12:14:13 status unpacked avahi-utils:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:13 status unpacked avahi-utils:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:13 startup packages configure
2022-11-07 12:14:13 configure avahi-utils:amd64 0.7-3.1ubuntu1.3 <none>
2022-11-07 12:14:13 status unpacked avahi-utils:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:13 status half-configured avahi-utils:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:13 status installed avahi-utils:amd64 0.7-3.1ubuntu1.3
2022-11-07 12:14:13 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2022-11-07 12:14:13 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:14:16 status installed man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:14:24 startup archives unpack
2022-11-07 12:14:24 upgrade bash:amd64 4.4.18-2ubuntu1.2 4.4.18-2ubuntu1.3
2022-11-07 12:14:24 status half-configured bash:amd64 4.4.18-2ubuntu1.2
2022-11-07 12:14:24 status unpacked bash:amd64 4.4.18-2ubuntu1.2
2022-11-07 12:14:24 status half-installed bash:amd64 4.4.18-2ubuntu1.2
2022-11-07 12:14:24 status triggers-pending install-info:amd64 6.5.0.dfsg.1-2
2022-11-07 12:14:24 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:14:24 status half-installed bash:amd64 4.4.18-2ubuntu1.2
2022-11-07 12:14:24 status unpacked bash:amd64 4.4.18-2ubuntu1.3
2022-11-07 12:14:24 status unpacked bash:amd64 4.4.18-2ubuntu1.3
2022-11-07 12:14:24 startup packages configure
2022-11-07 12:14:24 configure bash:amd64 4.4.18-2ubuntu1.3 <none>
2022-11-07 12:14:24 status unpacked bash:amd64 4.4.18-2ubuntu1.3
2022-11-07 12:14:24 status unpacked bash:amd64 4.4.18-2ubuntu1.3
2022-11-07 12:14:24 status unpacked bash:amd64 4.4.18-2ubuntu1.3
2022-11-07 12:14:24 status unpacked bash:amd64 4.4.18-2ubuntu1.3
2022-11-07 12:14:24 status unpacked bash:amd64 4.4.18-2ubuntu1.3
2022-11-07 12:14:24 status half-configured bash:amd64 4.4.18-2ubuntu1.3
2022-11-07 12:14:24 status installed bash:amd64 4.4.18-2ubuntu1.3
2022-11-07 12:14:25 startup packages configure
2022-11-07 12:14:25 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2022-11-07 12:14:25 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:14:27 status installed man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:14:27 trigproc install-info:amd64 6.5.0.dfsg.1-2 <none>
2022-11-07 12:14:27 status half-configured install-info:amd64 6.5.0.dfsg.1-2
2022-11-07 12:14:27 status installed install-info:amd64 6.5.0.dfsg.1-2
2022-11-07 12:14:30 startup archives unpack
2022-11-07 12:14:30 upgrade bluez:amd64 5.48-0ubuntu3.4 5.48-0ubuntu3.9
2022-11-07 12:14:30 status half-configured bluez:amd64 5.48-0ubuntu3.4
2022-11-07 12:14:31 status unpacked bluez:amd64 5.48-0ubuntu3.4
2022-11-07 12:14:31 status half-installed bluez:amd64 5.48-0ubuntu3.4
2022-11-07 12:14:31 status triggers-pending dbus:amd64 1.12.2-1ubuntu1.2
2022-11-07 12:14:31 status triggers-pending systemd:amd64 237-3ubuntu10.45
2022-11-07 12:14:31 status triggers-pending ureadahead:amd64 0.100.0-21
2022-11-07 12:14:31 status triggers-pending dbus:amd64 1.12.2-1ubuntu1.2
2022-11-07 12:14:31 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:14:31 status half-installed bluez:amd64 5.48-0ubuntu3.4
2022-11-07 12:14:31 status unpacked bluez:amd64 5.48-0ubuntu3.9
2022-11-07 12:14:31 status unpacked bluez:amd64 5.48-0ubuntu3.9
2022-11-07 12:14:31 startup packages configure
2022-11-07 12:14:31 configure bluez:amd64 5.48-0ubuntu3.9 <none>
2022-11-07 12:14:31 status unpacked bluez:amd64 5.48-0ubuntu3.9
2022-11-07 12:14:31 status unpacked bluez:amd64 5.48-0ubuntu3.9
2022-11-07 12:14:31 status unpacked bluez:amd64 5.48-0ubuntu3.9
2022-11-07 12:14:31 status unpacked bluez:amd64 5.48-0ubuntu3.9
2022-11-07 12:14:31 status unpacked bluez:amd64 5.48-0ubuntu3.9
2022-11-07 12:14:31 status unpacked bluez:amd64 5.48-0ubuntu3.9
2022-11-07 12:14:31 status half-configured bluez:amd64 5.48-0ubuntu3.9
2022-11-07 12:14:32 status installed bluez:amd64 5.48-0ubuntu3.9
2022-11-07 12:14:32 trigproc systemd:amd64 237-3ubuntu10.45 <none>
2022-11-07 12:14:32 status half-configured systemd:amd64 237-3ubuntu10.45
2022-11-07 12:14:33 status installed systemd:amd64 237-3ubuntu10.45
2022-11-07 12:14:33 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2022-11-07 12:14:33 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:14:35 status installed man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:14:35 trigproc dbus:amd64 1.12.2-1ubuntu1.2 <none>
2022-11-07 12:14:35 status half-configured dbus:amd64 1.12.2-1ubuntu1.2
2022-11-07 12:14:35 status installed dbus:amd64 1.12.2-1ubuntu1.2
2022-11-07 12:14:35 trigproc ureadahead:amd64 0.100.0-21 <none>
2022-11-07 12:14:35 status half-configured ureadahead:amd64 0.100.0-21
2022-11-07 12:14:35 status installed ureadahead:amd64 0.100.0-21
2022-11-07 12:14:39 startup archives unpack
2022-11-07 12:14:39 upgrade bluez-cups:amd64 5.48-0ubuntu3.4 5.48-0ubuntu3.9
2022-11-07 12:14:39 status half-configured bluez-cups:amd64 5.48-0ubuntu3.4
2022-11-07 12:14:39 status unpacked bluez-cups:amd64 5.48-0ubuntu3.4
2022-11-07 12:14:39 status half-installed bluez-cups:amd64 5.48-0ubuntu3.4
2022-11-07 12:14:39 status half-installed bluez-cups:amd64 5.48-0ubuntu3.4
2022-11-07 12:14:39 status unpacked bluez-cups:amd64 5.48-0ubuntu3.9
2022-11-07 12:14:39 status unpacked bluez-cups:amd64 5.48-0ubuntu3.9
2022-11-07 12:14:39 startup packages configure
2022-11-07 12:14:39 configure bluez-cups:amd64 5.48-0ubuntu3.9 <none>
2022-11-07 12:14:39 status unpacked bluez-cups:amd64 5.48-0ubuntu3.9
2022-11-07 12:14:39 status half-configured bluez-cups:amd64 5.48-0ubuntu3.9
2022-11-07 12:14:39 status installed bluez-cups:amd64 5.48-0ubuntu3.9
2022-11-07 12:14:43 startup archives unpack
2022-11-07 12:14:43 upgrade bluez-obexd:amd64 5.48-0ubuntu3.4 5.48-0ubuntu3.9
2022-11-07 12:14:43 status half-configured bluez-obexd:amd64 5.48-0ubuntu3.4
2022-11-07 12:14:43 status unpacked bluez-obexd:amd64 5.48-0ubuntu3.4
2022-11-07 12:14:43 status half-installed bluez-obexd:amd64 5.48-0ubuntu3.4
2022-11-07 12:14:43 status half-installed bluez-obexd:amd64 5.48-0ubuntu3.4
2022-11-07 12:14:43 status unpacked bluez-obexd:amd64 5.48-0ubuntu3.9
2022-11-07 12:14:43 status unpacked bluez-obexd:amd64 5.48-0ubuntu3.9
2022-11-07 12:14:44 startup packages configure
2022-11-07 12:14:44 configure bluez-obexd:amd64 5.48-0ubuntu3.9 <none>
2022-11-07 12:14:44 status unpacked bluez-obexd:amd64 5.48-0ubuntu3.9
2022-11-07 12:14:44 status half-configured bluez-obexd:amd64 5.48-0ubuntu3.9
2022-11-07 12:14:44 status installed bluez-obexd:amd64 5.48-0ubuntu3.9
2022-11-07 12:14:47 startup archives unpack
2022-11-07 12:14:47 upgrade busybox-initramfs:amd64 1:1.27.2-2ubuntu3.3 1:1.27.2-2ubuntu3.4
2022-11-07 12:14:47 status half-configured busybox-initramfs:amd64 1:1.27.2-2ubuntu3.3
2022-11-07 12:14:47 status unpacked busybox-initramfs:amd64 1:1.27.2-2ubuntu3.3
2022-11-07 12:14:47 status half-installed busybox-initramfs:amd64 1:1.27.2-2ubuntu3.3
2022-11-07 12:14:47 status half-installed busybox-initramfs:amd64 1:1.27.2-2ubuntu3.3
2022-11-07 12:14:47 status unpacked busybox-initramfs:amd64 1:1.27.2-2ubuntu3.4
2022-11-07 12:14:47 status unpacked busybox-initramfs:amd64 1:1.27.2-2ubuntu3.4
2022-11-07 12:14:47 startup packages configure
2022-11-07 12:14:47 configure busybox-initramfs:amd64 1:1.27.2-2ubuntu3.4 <none>
2022-11-07 12:14:47 status unpacked busybox-initramfs:amd64 1:1.27.2-2ubuntu3.4
2022-11-07 12:14:47 status half-configured busybox-initramfs:amd64 1:1.27.2-2ubuntu3.4
2022-11-07 12:14:47 status installed busybox-initramfs:amd64 1:1.27.2-2ubuntu3.4
2022-11-07 12:14:51 startup archives unpack
2022-11-07 12:14:51 upgrade busybox-static:amd64 1:1.27.2-2ubuntu3.3 1:1.27.2-2ubuntu3.4
2022-11-07 12:14:51 status triggers-pending initramfs-tools:all 0.130ubuntu3.11
2022-11-07 12:14:51 status half-configured busybox-static:amd64 1:1.27.2-2ubuntu3.3
2022-11-07 12:14:51 status unpacked busybox-static:amd64 1:1.27.2-2ubuntu3.3
2022-11-07 12:14:51 status half-installed busybox-static:amd64 1:1.27.2-2ubuntu3.3
2022-11-07 12:14:51 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:14:51 status half-installed busybox-static:amd64 1:1.27.2-2ubuntu3.3
2022-11-07 12:14:51 status unpacked busybox-static:amd64 1:1.27.2-2ubuntu3.4
2022-11-07 12:14:51 status unpacked busybox-static:amd64 1:1.27.2-2ubuntu3.4
2022-11-07 12:14:52 startup packages configure
2022-11-07 12:14:52 configure busybox-static:amd64 1:1.27.2-2ubuntu3.4 <none>
2022-11-07 12:14:52 status unpacked busybox-static:amd64 1:1.27.2-2ubuntu3.4
2022-11-07 12:14:52 status half-configured busybox-static:amd64 1:1.27.2-2ubuntu3.4
2022-11-07 12:14:52 status installed busybox-static:amd64 1:1.27.2-2ubuntu3.4
2022-11-07 12:14:52 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2022-11-07 12:14:52 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:14:53 status installed man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:14:53 trigproc initramfs-tools:all 0.130ubuntu3.11 <none>
2022-11-07 12:14:53 status half-configured initramfs-tools:all 0.130ubuntu3.11
2022-11-07 12:15:03 status installed initramfs-tools:all 0.130ubuntu3.11
2022-11-07 12:15:07 startup archives unpack
2022-11-07 12:15:08 upgrade ca-certificates:all 20210119~18.04.1 20211016~18.04.1
2022-11-07 12:15:08 status half-configured ca-certificates:all 20210119~18.04.1
2022-11-07 12:15:08 status unpacked ca-certificates:all 20210119~18.04.1
2022-11-07 12:15:08 status half-installed ca-certificates:all 20210119~18.04.1
2022-11-07 12:15:08 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:15:08 status half-installed ca-certificates:all 20210119~18.04.1
2022-11-07 12:15:08 status unpacked ca-certificates:all 20211016~18.04.1
2022-11-07 12:15:08 status unpacked ca-certificates:all 20211016~18.04.1
2022-11-07 12:15:08 startup packages configure
2022-11-07 12:15:08 configure ca-certificates:all 20211016~18.04.1 <none>
2022-11-07 12:15:08 status unpacked ca-certificates:all 20211016~18.04.1
2022-11-07 12:15:08 status half-configured ca-certificates:all 20211016~18.04.1
2022-11-07 12:15:10 status installed ca-certificates:all 20211016~18.04.1
2022-11-07 12:15:10 status triggers-pending ca-certificates:all 20211016~18.04.1
2022-11-07 12:15:10 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2022-11-07 12:15:10 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:15:11 status installed man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:15:11 trigproc ca-certificates:all 20211016~18.04.1 <none>
2022-11-07 12:15:11 status half-configured ca-certificates:all 20211016~18.04.1
2022-11-07 12:15:11 status installed ca-certificates:all 20211016~18.04.1
2022-11-07 12:15:15 startup archives unpack
2022-11-07 12:15:15 upgrade cpio:amd64 2.12+dfsg-6ubuntu0.18.04.1 2.12+dfsg-6ubuntu0.18.04.4
2022-11-07 12:15:15 status half-configured cpio:amd64 2.12+dfsg-6ubuntu0.18.04.1
2022-11-07 12:15:15 status unpacked cpio:amd64 2.12+dfsg-6ubuntu0.18.04.1
2022-11-07 12:15:15 status half-installed cpio:amd64 2.12+dfsg-6ubuntu0.18.04.1
2022-11-07 12:15:15 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:15:15 status half-installed cpio:amd64 2.12+dfsg-6ubuntu0.18.04.1
2022-11-07 12:15:15 status unpacked cpio:amd64 2.12+dfsg-6ubuntu0.18.04.4
2022-11-07 12:15:15 status unpacked cpio:amd64 2.12+dfsg-6ubuntu0.18.04.4
2022-11-07 12:15:15 startup packages configure
2022-11-07 12:15:15 configure cpio:amd64 2.12+dfsg-6ubuntu0.18.04.4 <none>
2022-11-07 12:15:15 status unpacked cpio:amd64 2.12+dfsg-6ubuntu0.18.04.4
2022-11-07 12:15:15 status half-configured cpio:amd64 2.12+dfsg-6ubuntu0.18.04.4
2022-11-07 12:15:15 status installed cpio:amd64 2.12+dfsg-6ubuntu0.18.04.4
2022-11-07 12:15:15 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2022-11-07 12:15:15 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:15:17 status installed man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:15:21 startup archives unpack
2022-11-07 12:15:21 upgrade cron:amd64 3.0pl1-128.1ubuntu1 3.0pl1-128.1ubuntu1.2
2022-11-07 12:15:21 status half-configured cron:amd64 3.0pl1-128.1ubuntu1
2022-11-07 12:15:21 status unpacked cron:amd64 3.0pl1-128.1ubuntu1
2022-11-07 12:15:21 status half-installed cron:amd64 3.0pl1-128.1ubuntu1
2022-11-07 12:15:22 status triggers-pending systemd:amd64 237-3ubuntu10.45
2022-11-07 12:15:22 status triggers-pending ureadahead:amd64 0.100.0-21
2022-11-07 12:15:22 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:15:22 status half-installed cron:amd64 3.0pl1-128.1ubuntu1
2022-11-07 12:15:22 status unpacked cron:amd64 3.0pl1-128.1ubuntu1.2
2022-11-07 12:15:22 status unpacked cron:amd64 3.0pl1-128.1ubuntu1.2
2022-11-07 12:15:22 startup packages configure
2022-11-07 12:15:22 configure cron:amd64 3.0pl1-128.1ubuntu1.2 <none>
2022-11-07 12:15:22 status unpacked cron:amd64 3.0pl1-128.1ubuntu1.2
2022-11-07 12:15:22 status unpacked cron:amd64 3.0pl1-128.1ubuntu1.2
2022-11-07 12:15:22 status unpacked cron:amd64 3.0pl1-128.1ubuntu1.2
2022-11-07 12:15:22 status unpacked cron:amd64 3.0pl1-128.1ubuntu1.2
2022-11-07 12:15:22 status unpacked cron:amd64 3.0pl1-128.1ubuntu1.2
2022-11-07 12:15:22 status unpacked cron:amd64 3.0pl1-128.1ubuntu1.2
2022-11-07 12:15:22 status unpacked cron:amd64 3.0pl1-128.1ubuntu1.2
2022-11-07 12:15:22 status unpacked cron:amd64 3.0pl1-128.1ubuntu1.2
2022-11-07 12:15:22 status unpacked cron:amd64 3.0pl1-128.1ubuntu1.2
2022-11-07 12:15:22 status unpacked cron:amd64 3.0pl1-128.1ubuntu1.2
2022-11-07 12:15:22 status half-configured cron:amd64 3.0pl1-128.1ubuntu1.2
2022-11-07 12:15:22 status installed cron:amd64 3.0pl1-128.1ubuntu1.2
2022-11-07 12:15:23 trigproc systemd:amd64 237-3ubuntu10.45 <none>
2022-11-07 12:15:23 status half-configured systemd:amd64 237-3ubuntu10.45
2022-11-07 12:15:23 status installed systemd:amd64 237-3ubuntu10.45
2022-11-07 12:15:23 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2022-11-07 12:15:23 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:15:25 status installed man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:15:25 trigproc ureadahead:amd64 0.100.0-21 <none>
2022-11-07 12:15:25 status half-configured ureadahead:amd64 0.100.0-21
2022-11-07 12:15:25 status installed ureadahead:amd64 0.100.0-21
2022-11-07 12:15:29 startup archives unpack
2022-11-07 12:15:29 upgrade cups-common:all 2.2.7-1ubuntu2.8 2.2.7-1ubuntu2.9
2022-11-07 12:15:29 status half-configured cups-common:all 2.2.7-1ubuntu2.8
2022-11-07 12:15:29 status unpacked cups-common:all 2.2.7-1ubuntu2.8
2022-11-07 12:15:29 status half-installed cups-common:all 2.2.7-1ubuntu2.8
2022-11-07 12:15:30 status half-installed cups-common:all 2.2.7-1ubuntu2.8
2022-11-07 12:15:30 status unpacked cups-common:all 2.2.7-1ubuntu2.9
2022-11-07 12:15:30 status unpacked cups-common:all 2.2.7-1ubuntu2.9
2022-11-07 12:15:30 startup packages configure
2022-11-07 12:15:30 configure cups-common:all 2.2.7-1ubuntu2.9 <none>
2022-11-07 12:15:30 status unpacked cups-common:all 2.2.7-1ubuntu2.9
2022-11-07 12:15:30 status half-configured cups-common:all 2.2.7-1ubuntu2.9
2022-11-07 12:15:30 status installed cups-common:all 2.2.7-1ubuntu2.9
2022-11-07 12:15:33 startup archives unpack
2022-11-07 12:15:34 upgrade cups-server-common:all 2.2.7-1ubuntu2.8 2.2.7-1ubuntu2.9
2022-11-07 12:15:34 status half-configured cups-server-common:all 2.2.7-1ubuntu2.8
2022-11-07 12:15:34 status unpacked cups-server-common:all 2.2.7-1ubuntu2.8
2022-11-07 12:15:34 status half-installed cups-server-common:all 2.2.7-1ubuntu2.8
2022-11-07 12:15:34 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:15:35 status half-installed cups-server-common:all 2.2.7-1ubuntu2.8
2022-11-07 12:15:35 status unpacked cups-server-common:all 2.2.7-1ubuntu2.9
2022-11-07 12:15:35 status unpacked cups-server-common:all 2.2.7-1ubuntu2.9
2022-11-07 12:15:35 startup packages configure
2022-11-07 12:15:35 configure cups-server-common:all 2.2.7-1ubuntu2.9 <none>
2022-11-07 12:15:35 status unpacked cups-server-common:all 2.2.7-1ubuntu2.9
2022-11-07 12:15:35 status half-configured cups-server-common:all 2.2.7-1ubuntu2.9
2022-11-07 12:15:35 status installed cups-server-common:all 2.2.7-1ubuntu2.9
2022-11-07 12:15:35 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2022-11-07 12:15:35 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:15:35 status installed man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:15:39 startup archives unpack
2022-11-07 12:15:39 upgrade distro-info-data:all 0.37ubuntu0.9 0.37ubuntu0.14
2022-11-07 12:15:39 status half-configured distro-info-data:all 0.37ubuntu0.9
2022-11-07 12:15:39 status unpacked distro-info-data:all 0.37ubuntu0.9
2022-11-07 12:15:39 status half-installed distro-info-data:all 0.37ubuntu0.9
2022-11-07 12:15:39 status half-installed distro-info-data:all 0.37ubuntu0.9
2022-11-07 12:15:39 status unpacked distro-info-data:all 0.37ubuntu0.14
2022-11-07 12:15:39 status unpacked distro-info-data:all 0.37ubuntu0.14
2022-11-07 12:15:39 startup packages configure
2022-11-07 12:15:39 configure distro-info-data:all 0.37ubuntu0.14 <none>
2022-11-07 12:15:39 status unpacked distro-info-data:all 0.37ubuntu0.14
2022-11-07 12:15:39 status half-configured distro-info-data:all 0.37ubuntu0.14
2022-11-07 12:15:39 status installed distro-info-data:all 0.37ubuntu0.14
2022-11-07 12:15:43 startup archives unpack
2022-11-07 12:15:43 upgrade dnsmasq-base:amd64 2.79-1ubuntu0.3 2.79-1ubuntu0.6
2022-11-07 12:15:43 status half-configured dnsmasq-base:amd64 2.79-1ubuntu0.3
2022-11-07 12:15:43 status unpacked dnsmasq-base:amd64 2.79-1ubuntu0.3
2022-11-07 12:15:43 status half-installed dnsmasq-base:amd64 2.79-1ubuntu0.3
2022-11-07 12:15:43 status triggers-pending dbus:amd64 1.12.2-1ubuntu1.2
2022-11-07 12:15:43 status triggers-pending man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:15:43 status half-installed dnsmasq-base:amd64 2.79-1ubuntu0.3
2022-11-07 12:15:43 status unpacked dnsmasq-base:amd64 2.79-1ubuntu0.6
2022-11-07 12:15:43 status unpacked dnsmasq-base:amd64 2.79-1ubuntu0.6
2022-11-07 12:15:43 startup packages configure
2022-11-07 12:15:43 configure dnsmasq-base:amd64 2.79-1ubuntu0.6 <none>
2022-11-07 12:15:43 status unpacked dnsmasq-base:amd64 2.79-1ubuntu0.6
2022-11-07 12:15:43 status unpacked dnsmasq-base:amd64 2.79-1ubuntu0.6
2022-11-07 12:15:43 status half-configured dnsmasq-base:amd64 2.79-1ubuntu0.6
2022-11-07 12:15:43 status installed dnsmasq-base:amd64 2.79-1ubuntu0.6
2022-11-07 12:15:43 trigproc dbus:amd64 1.12.2-1ubuntu1.2 <none>
2022-11-07 12:15:43 status half-configured dbus:amd64 1.12.2-1ubuntu1.2
2022-11-07 12:15:43 status installed dbus:amd64 1.12.2-1ubuntu1.2
2022-11-07 12:15:43 trigproc man-db:amd64 2.8.3-2ubuntu0.1 <none>
2022-11-07 12:15:43 status half-configured man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:15:44 status installed man-db:amd64 2.8.3-2ubuntu0.1
2022-11-07 12:15:48 startup archives unpack
2022-11-07 12:15:48 upgrade dpkg:amd64 1.19.0.5ubuntu2.3 1.19.0.5ubuntu2.4
2022-11-07 12:15:48 status half-configured dpkg:amd64 1.19.0.5ubuntu2.3
2022-11-07 12:15:48 status unpacked dpkg:amd64 1.19.0.5ubuntu2.3
